s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1766.5595398,-39.5815059,-117.8865816,2.9335107,0.0029156,37.1019865,-8.8028195
1768.5579103,-39.9885745,-119.843035,2.93943,0.0030085,36.6247841,-8.7648606
1770.5562809,-40.3838824,-121.8019456,2.9455351,0.0031015,36.1433802,-8.7330543
1772.5546514,-40.7670318,-123.7632187,2.9518259,0.0031945,35.6572598,-8.7070998
1774.5530219,-41.1376544,-125.7269035,2.9583027,0.0032878,35.1658947,-8.6872437
1776.5513924,-41.4953753,-127.6930264,2.9649664,0.0033812,34.6687105,-8.6744614
1778.5497629,-41.8397941,-129.6614675,2.971816,0.003474,34.1650393,-8.5991214
1780.5481335,-42.1705241,-131.6322608,2.9788893,0.003627,33.6583043,-8.4373706
1782.546504,-42.4869654,-133.6054491,2.9863315,0.0038662,33.153574,-7.9114378
1784.5448745,-42.7879681,-135.5809867,2.9946458,0.0044549,32.673223,-7.3940514
1786.543245,-43.0713629,-137.5590947,3.0041479,0.0050624,32.2178117,-6.9151756
1788.5416155,-43.3347454,-139.5400715,3.0148793,0.0056577,31.785991,-6.6290656
1790.5399861,-43.5757816,-141.5237272,3.0266114,0.0060841,31.366456,-6.4852914
1792.5383566,-43.7927181,-143.5101825,3.0391159,0.0063819,30.9505175,-6.4290491
1794.5367271,-43.9843388,-145.4995308,3.0520877,0.0066009,30.5325939,-6.3658778
1796.5350976,-44.1496658,-147.490918,3.0655145,0.0068382,30.1130624,-6.3027729
1798.5334681,-44.2877718,-149.484506,3.0794248,0.0070873,29.6918503,-6.2446395
1800.5318387,-44.397634,-151.4799769,3.0938457,0.0073435,29.2685457,-6.2079691
1802.5302092,-44.4782001,-153.4766334,3.1087638,0.0075879,28.8415693,-6.0565753
1804.5285797,-44.5284514,-155.4743962,3.1242595,0.0079841,28.418824,-5.8240529
1806.5269502,-44.5468072,-157.472712,3.1407256,0.0084989,28.0062909,-5.564055
1808.5253207,-44.5311907,-159.4709825,-3.1249058,0.0090699,27.6064167,-5.3292695
1810.5236913,-44.4793623,-161.4686486,-3.106216,0.0096296,27.2179083,-5.1156453
1812.5220618,-44.389103,-163.4649654,-3.0864212,0.0101817,26.8396837,-4.9122868
1814.5204323,-44.2582465,-165.458995,-3.0655179,0.0107397,26.4714088,-4.7227713
1816.5188028,-44.0846254,-167.4497798,-3.0434971,0.0112976,26.1124451,-4.5445051
1818.5171733,-43.8661054,-169.4361307,-3.020361,0.0118583,25.7623093,-4.3758168
1820.5155439,-43.6005785,-171.4167531,-2.9961006,0.0124234,25.4206131,-4.2320814
1822.5139144,-43.2859672,-173.3901795,-2.9707162,0.0129689,25.0857138,-4.1105016
1824.5122849,-42.9203386,-175.3547084,-2.9442732,0.0134982,24.7560988,-4.0076898
1826.5106554,-42.501837,-177.3088115,-2.9167827,0.0140159,24.4304468,-3.910427
1828.5090259,-42.028782,-179.2503697,-2.8882458,0.0145433,24.1084584,-3.8172374
1830.5073965,-41.4995578,-181.1771626,-2.8586487,0.0150832,23.7899402,-3.7355663
1832.505767,-40.9123975,-183.0874993,-2.8279671,0.0156231,23.474053,-3.6598815
1834.5041375,-40.2659422,-184.9783944,-2.7961931,0.0161732,23.1603879,-3.5889475
1836.502508,-39.5588372,-186.8470967,-2.7633194,0.0167363,22.8486208,-3.5306937
1838.5008785,-38.7893826,-188.6917423,-2.7293095,0.0172986,22.5377063,-3.4803747
1840.4992491,-37.9567766,-190.5083409,-2.6941622,0.0178699,22.2269667,-3.4384677
1842.4976196,-37.0600562,-192.2936303,-2.6578851,0.0184506,21.9156424,-3.4019836
1844.4959901,-36.0976237,-194.0455749,-2.620412,0.0190481,21.6032066,-3.358605
1846.4943606,-35.0695281,-195.7590512,-2.5817122,0.0196894,21.2902574,-3.3128668
1848.4927311,-33.9751621,-197.4302461,-2.5417065,0.0203669,20.9769967,-3.2612202
1850.4911017,-32.8128815,-199.0566456,-2.5002773,0.0210905,20.6639817,-3.2064151
1852.4894722,-31.5835071,-200.6320559,-2.4573628,0.0218561,20.3515338,-3.1447952
1854.4878427,-30.2871614,-202.1515252,-2.4129023,0.0226739,20.0403592,-3.0957869
1856.4862132,-28.9218884,-203.6122656,-2.3667496,0.0235007,19.7292406,-3.0934719
1858.4845837,-27.4903571,-205.0064732,-2.3189926,0.0241901,19.413375,-3.1083747
1860.4829543,-25.9943204,-206.328889,-2.2701729,0.0247185,19.0907245,-3.1972281
1862.4813248,-24.4325793,-207.5778372,-2.2204561,0.0250135,18.7530602,-3.4116526
1864.4796953,-22.8117959,-208.7460326,-2.1699558,0.0256834,18.3859124,-3.52516
1866.4780658,-21.1340255,-209.8290288,-2.1177353,0.0266606,17.998684,-3.3275709
1868.4764363,-19.3994734,-210.8214068,-2.06257,0.0285418,17.6253563,-3.1185929
1870.4748069,-17.6117662,-211.7130106,-2.0036829,0.0304095,17.2681492,-2.9112222
1872.4731774,-15.7729685,-212.4944877,-1.9409972,0.0323426,16.9278934,-2.6831512
1874.4715479,-13.8876089,-213.1554957,-1.8743282,0.0344025,16.608122,-2.4200603
1876.4699184,-11.9614256,-213.685361,-1.8034175,0.0366185,16.3143299,-2.0988027
1878.4682889,-10.0012786,-214.0729938,-1.7278475,0.0390361,16.0551858,-1.6822015
1880.4666595,-8.0171636,-214.3065496,-1.6471961,0.0417243,15.8444207,-1.152038
1882.46503,-6.0205386,-214.3739907,-1.5609576,0.0446434,15.698448,-0.5810869
1884.4634005,-4.025745,-214.2631508,-1.4686469,0.047401,15.6243021,-0.1521941
1886.461771,-2.050559,-213.9644373,-1.3721279,0.0492792,15.6048241,-0.1521941
1888.4601415,-0.1145579,-213.4746514,-1.274521,0.0478008,15.5853218,0.2372678
1890.4585121,1.7663795,-212.8022382,-1.1810992,0.045724,15.6157149,0.6977747
1892.4568826,3.5786449,-211.960651,-1.0916037,0.0438876,15.7047565,1.021449
1894.4552531,5.3095294,-210.9640871,-1.0058374,0.0419785,15.8341985,1.3183661
1896.4536236,6.9514981,-209.8253665,-0.9235659,0.0403992,15.9997191,1.4981692
1898.4519941,8.4962109,-208.5578498,-0.8441638,0.0391039,16.1857594,1.591874
1900.4503647,9.9367881,-207.173959,-0.7671177,0.0380521,16.3811207,1.621355
1902.4487352,11.2682942,-205.6842618,-0.6919231,0.0372353,16.5777336,1.5951879
