s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1271.2435258,-168.6803911,-66.3191027,0.9101929,0.0311602,19.4241663,0.0075021
1273.2423363,-170.2963999,-65.142303,0.9726133,0.0312495,19.4249383,-0.0271446
1275.2411469,-171.9821519,-64.0690817,1.0351706,0.0313892,19.4221449,-0.1363024
1277.2399575,-173.7327298,-63.1031553,1.0980461,0.0315132,19.4081124,-0.3162841
1279.2387681,-175.540196,-62.2496639,1.1612983,0.0317475,19.3755115,-0.2340468
1281.2375786,-177.3967387,-61.5130886,1.2250038,0.0320449,19.3513517,-0.2340468
1283.2363892,-179.2990524,-60.8958298,1.289074,0.0320584,19.3271618,-0.2085393
1285.2351998,-181.2351496,-60.4019967,1.3527635,0.031303,19.3055827,0.1002602
1287.2340104,-183.1969936,-60.030234,1.4138369,0.0302446,19.3159604,0.4823387
1289.2328209,-185.1790617,-59.7782938,1.4751631,0.0310568,19.3658083,0.1182433
1291.2316315,-187.1712901,-59.6486111,1.5355636,0.028826,19.3780088,0.9409237
1293.2304421,-189.1706941,-59.633824,1.5901816,0.0255686,19.4748217,2.0655946
1295.2292527,-191.1687783,-59.7211045,1.6374339,0.0217126,19.6856838,3.3435819
1297.2280632,-193.1584512,-59.8946933,1.6769068,0.0178248,20.0223006,4.603617
1299.2268738,-195.1430428,-60.1393552,1.7086823,0.0138229,20.4767194,5.03794
1301.2256844,-197.1205255,-60.4388112,1.7320847,0.009599,20.9627243,5.0253526
1303.224495,-199.0885839,-60.7765715,1.7485445,0.0068976,21.4365405,5.0127967
1305.2233055,-201.0524782,-61.1416236,1.7598852,0.0046917,21.8989618,5.0002722
1307.2221161,-203.0168677,-61.5259473,1.7675418,0.0029596,22.3506985,4.9877789
1309.2209267,-204.9736342,-61.9207298,1.7715985,0.0011183,22.7923885,4.9753169
1311.2197373,-206.9324378,-62.3204907,1.7720271,-0.0006994,23.2246078,4.962886
1313.2185478,-208.8938323,-62.7179339,1.7688161,-0.0025056,23.6478782,4.9504862
1315.2173584,-210.8534792,-63.1047859,1.7619702,-0.004345,24.0626747,-2.6536765
1317.216169,-212.8188805,-63.4750194,1.7513052,-0.0064524,23.8412231,-7.5726151
1319.2149796,-214.7881859,-63.8196879,1.7360187,-0.0088523,23.1976609,-6.5223006
1321.2137901,-216.7646903,-64.1296507,1.7158642,-0.0113224,22.6286939,-5.5906761
1323.2126007,-218.7474069,-64.3947066,1.6907211,-0.013713,22.1293556,-4.7468861
1325.2114113,-220.7316842,-64.6048083,1.6610806,-0.0160332,21.6963621,-3.9727959
